vars,contraints,operation,elapsed_time
3073,1024,fillTableau,7969.791992
3073,1024,gauss1,921.599976
3073,1024,solve,2787.328125
3073,1024,solve,2810.879883
3073,1024,solve,2665.471924
3073,1024,solve,3569.664062
3073,1024,solve,3348.479980
3073,1024,solve,3014.656006
3073,1024,solve,4378.624023
3073,1024,solve,2489.343994
3073,1024,solve,3832.000000
3073,1024,solve,5551.104004
3073,1024,solve,4854.784180
3073,1024,solve,4023.295898
3073,1024,solve,3248.192139
3073,1024,solve,4277.248047
3073,1024,solve,3294.112061
3073,1024,solve,10105.855469
3073,1024,solve,5613.567871
3073,1024,solve,14189.567383
3073,1024,solve,4271.104004
3073,1024,solve,4258.815918
3073,1024,solve,3369.983887
3073,1024,solve,3284.000000
3073,1024,solve,3773.439941
3073,1024,solve,3085.312012
3073,1024,solve,2946.048096
3073,1024,solve,2895.968018
3073,1024,solve,3109.055908
3073,1024,solve,3731.679932
3073,1024,solve,3272.671875
3073,1024,solve,2846.719971
3073,1024,solve,2444.288086
3073,1024,solve,2613.055908
3073,1024,solve,3149.823975
3073,1024,solve,3118.079834
3073,1024,solve,2942.976074
3073,1024,solve,2404.352051
3073,1024,solve,2944.000000
3073,1024,solve,2918.400146
3073,1024,solve,3565.599854
3073,1024,solve,6361.248047
3073,1024,solve,5742.591797
3073,1024,solve,4130.815918
3073,1024,solve,2809.855957
3073,1024,solve,2844.671875
3073,1024,solve,2552.671875
3073,1024,solve,2578.432129
3073,1024,solve,3127.295898
3073,1024,solve,2759.679932
3073,1024,solve,2547.712158
3073,1024,solve,2377.728027
3073,1024,solve,2385.920166
3073,1024,solve,3010.560059
3073,1024,solve,6760.608398
3073,1024,solve,4997.120117
3073,1024,solve,4595.712402
3073,1024,solve,3193.887939
3073,1024,solve,2824.416016
3073,1024,solve,2824.320068
3073,1024,solve,2599.904053
3073,1024,solve,2654.335938
3073,1024,solve,2574.335938
3073,1024,solve,2183.167969
3073,1024,solve,2036.735962
3073,1024,solve,2287.615967
3073,1024,solve,2400.255859
3073,1024,solve,2544.640137
3073,1024,solve,6502.399902
3073,1024,solve,6047.616211
3073,1024,solve,4128.768066
3073,1024,solve,3331.263916
3073,1024,solve,2643.071777
3073,1024,solve,2469.696045
3073,1024,solve,2587.743896
3073,1024,solve,2429.951904
3073,1024,solve,3346.431885
3073,1024,solve,5138.335938
3073,1024,solve,4408.319824
3073,1024,solve,3174.400146
3073,1024,solve,3928.064209
3073,1024,solve,2722.719971
