vars,contraints,operation,elapsed_time
24577,8192,fillTableau,41649.953125
24577,8192,gauss1,4627.583984
24577,8192,solve,15157.631836
24577,8192,solve,15899.872070
24577,8192,solve,15791.167969
24577,8192,solve,15793.120117
24577,8192,solve,15852.895508
24577,8192,solve,15827.295898
24577,8192,solve,15826.144531
24577,8192,solve,16265.024414
24577,8192,solve,15794.528320
24577,8192,solve,15852.640625
24577,8192,solve,15360.160156
24577,8192,solve,17926.945312
24577,8192,solve,17047.902344
24577,8192,solve,15783.744141
24577,8192,solve,15406.880859
24577,8192,solve,14307.392578
24577,8192,solve,14760.576172
24577,8192,solve,15370.303711
24577,8192,solve,15796.127930
24577,8192,solve,17137.439453
24577,8192,solve,14796.895508
24577,8192,solve,15410.591797
24577,8192,solve,15384.927734
24577,8192,solve,15688.576172
24577,8192,solve,15786.879883
24577,8192,solve,16462.720703
24577,8192,solve,14773.408203
24577,8192,solve,15790.816406
24577,8192,solve,15815.167969
24577,8192,solve,16451.390625
24577,8192,solve,14789.055664
24577,8192,solve,17075.617188
24577,8192,solve,14949.440430
24577,8192,solve,12959.776367
24577,8192,solve,15870.431641
24577,8192,solve,12954.943359
24577,8192,solve,15895.232422
24577,8192,solve,12958.304688
24577,8192,solve,15853.215820
24577,8192,solve,15845.600586
24577,8192,solve,15857.664062
24577,8192,solve,15868.448242
24577,8192,solve,12924.255859
24577,8192,solve,15862.335938
24577,8192,solve,15878.847656
24577,8192,solve,16443.296875
24577,8192,solve,15918.687500
24577,8192,solve,15910.143555
24577,8192,solve,15879.583984
24577,8192,solve,13052.607422
24577,8192,solve,15993.120117
24577,8192,solve,13031.295898
24577,8192,solve,15433.823242
24577,8192,solve,16532.673828
24577,8192,solve,15926.240234
24577,8192,solve,15916.159180
24577,8192,solve,15848.735352
24577,8192,solve,15376.064453
24577,8192,solve,16302.496094
24577,8192,solve,15929.471680
24577,8192,solve,16451.007812
24577,8192,solve,15927.679688
24577,8192,solve,15945.568359
24577,8192,solve,15859.135742
24577,8192,solve,15863.583984
24577,8192,solve,15365.568359
24577,8192,solve,16432.544922
24577,8192,solve,15928.895508
24577,8192,solve,15939.647461
24577,8192,solve,15887.391602
24577,8192,solve,15888.799805
24577,8192,solve,16670.976562
24577,8192,solve,15929.727539
24577,8192,solve,15925.344727
24577,8192,solve,15941.727539
24577,8192,solve,16404.990234
24577,8192,solve,16302.015625
24577,8192,solve,15912.927734
24577,8192,solve,15914.496094
24577,8192,solve,15921.664062
24577,8192,solve,15959.872070
24577,8192,solve,16539.935547
24577,8192,solve,14830.688477
24577,8192,solve,17167.871094
24577,8192,solve,14833.632812
24577,8192,solve,15423.072266
24577,8192,solve,15881.152344
24577,8192,solve,16429.982422
24577,8192,solve,14830.143555
24577,8192,solve,15888.352539
24577,8192,solve,15868.096680
24577,8192,solve,15877.728516
24577,8192,solve,15878.303711
24577,8192,solve,17113.537109
24577,8192,solve,14270.879883
24577,8192,solve,15427.679688
24577,8192,solve,16617.792969
24577,8192,solve,13249.983398
24577,8192,solve,16033.439453
24577,8192,solve,12988.927734
24577,8192,solve,15918.463867
24577,8192,solve,12966.751953
24577,8192,solve,15892.224609
24577,8192,solve,12978.656250
24577,8192,solve,15927.839844
24577,8192,solve,12973.535156
24577,8192,solve,15369.728516
24577,8192,solve,13491.071289
24577,8192,solve,15358.656250
24577,8192,solve,16114.143555
24577,8192,solve,16703.519531
24577,8192,solve,15933.631836
24577,8192,solve,15905.280273
24577,8192,solve,15899.552734
24577,8192,solve,15954.912109
24577,8192,solve,15886.528320
24577,8192,solve,15356.639648
24577,8192,solve,16315.839844
24577,8192,solve,18305.599609
24577,8192,solve,15928.928711
24577,8192,solve,15936.288086
24577,8192,solve,15893.856445
24577,8192,solve,17166.945312
24577,8192,solve,15913.984375
24577,8192,solve,15916.543945
24577,8192,solve,15918.463867
24577,8192,solve,15921.664062
24577,8192,solve,15869.631836
24577,8192,solve,15852.927734
24577,8192,solve,15858.912109
24577,8192,solve,15834.528320
24577,8192,solve,15869.055664
24577,8192,solve,17156.798828
24577,8192,solve,14188.927734
24577,8192,solve,18421.855469
24577,8192,solve,15922.591797
24577,8192,solve,15912.768555
24577,8192,solve,16441.375000
24577,8192,solve,16159.807617
24577,8192,solve,16802.976562
24577,8192,solve,15881.375977
24577,8192,solve,15429.375977
24577,8192,solve,15927.264648
24577,8192,solve,16459.265625
24577,8192,solve,15900.768555
24577,8192,solve,15918.527344
24577,8192,solve,15890.368164
24577,8192,solve,16643.072266
24577,8192,solve,15940.095703
24577,8192,solve,15925.696289
24577,8192,solve,15899.104492
24577,8192,solve,15914.655273
24577,8192,solve,15912.192383
24577,8192,solve,15912.383789
24577,8192,solve,15916.832031
24577,8192,solve,15925.952148
24577,8192,solve,15928.799805
24577,8192,solve,15916.735352
24577,8192,solve,15927.136719
24577,8192,solve,17847.201172
24577,8192,solve,14284.607422
24577,8192,solve,12960.063477
24577,8192,solve,15858.240234
24577,8192,solve,12986.624023
24577,8192,solve,15909.152344
24577,8192,solve,15929.984375
24577,8192,solve,12966.240234
24577,8192,solve,15790.559570
24577,8192,solve,15895.295898
24577,8192,solve,15902.015625
24577,8192,solve,16421.951172
24577,8192,solve,16309.984375
24577,8192,solve,16683.201172
24577,8192,solve,12984.383789
24577,8192,solve,15369.440430
24577,8192,solve,16446.175781
24577,8192,solve,15929.408203
24577,8192,solve,15932.736328
24577,8192,solve,15935.392578
24577,8192,solve,12992.095703
24577,8192,solve,15907.263672
24577,8192,solve,12976.799805
24577,8192,solve,15387.711914
24577,8192,solve,15918.463867
24577,8192,solve,16427.550781
24577,8192,solve,16649.214844
24577,8192,solve,15984.512695
24577,8192,solve,15952.576172
24577,8192,solve,15882.496094
24577,8192,solve,15392.736328
24577,8192,solve,15920.799805
24577,8192,solve,15931.679688
24577,8192,solve,16478.335938
24577,8192,solve,15915.231445
24577,8192,solve,15917.375977
24577,8192,solve,15863.328125
24577,8192,solve,15371.423828
24577,8192,solve,15764.351562
24577,8192,solve,16617.183594
24577,8192,solve,16448.609375
24577,8192,solve,15923.007812
24577,8192,solve,15924.832031
24577,8192,solve,16450.785156
24577,8192,solve,16315.231445
24577,8192,solve,15936.479492
24577,8192,solve,15925.536133
24577,8192,solve,15938.048828
24577,8192,solve,15933.983398
24577,8192,solve,15919.391602
24577,8192,solve,15916.671875
24577,8192,solve,16636.736328
24577,8192,solve,15888.640625
24577,8192,solve,15933.215820
24577,8192,solve,15915.167969
24577,8192,solve,15912.576172
24577,8192,solve,15913.439453
24577,8192,solve,15922.400391
24577,8192,solve,15913.087891
24577,8192,solve,15927.295898
24577,8192,solve,15868.448242
24577,8192,solve,15952.480469
